vendor_product_id,product_name,category,subcategory,description,sku,brand,price,compare_at_price,stock_quantity,unit,weight_kg,dimensions_cm,image_url
PROD0016,Alarm Clock - Model 354,Bedroom,,"Alarm Clock. Features: Digital, USB Charging, Dual Alarm. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0016,HomeEssentials,24.66,,123,piece,1.38,27x25x20,https://cdn.example.com/products/vend003/b-vend003-0016.jpg
PROD0017,Curtains Blackout - Model 480,Bedroom,,"Curtains Blackout. Features: Thermal Insulated, 2 Panels, Grommet Top. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0017,HomeEssentials,37.15,,19,piece,2.97,35x32x24,https://cdn.example.com/products/vend003/b-vend003-0017.jpg
PROD0018,Area Rug 5x7 - Model 561,Bedroom,,"Area Rug 5x7. Features: Non-Slip, Machine Washable, Modern Design. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0018,HomeEssentials,80.51,109.99,461,piece,0.57,18x31x15,https://cdn.example.com/products/vend003/b-vend003-0018.jpg
PROD0019,Towel Set 6-Piece - Model 624,Bathroom,,"Towel Set 6-Piece. Features: Cotton, Absorbent, Quick Dry. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0019,HomeEssentials,47.33,64.99,257,piece,0.57,38x21x19,https://cdn.example.com/products/vend003/b-vend003-0019.jpg
PROD0020,Shower Curtain - Model 698,Bathroom,,"Shower Curtain. Features: Water Resistant, Hooks Included, Machine Washable. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0020,HomeEssentials,26.02,34.99,366,piece,3.6,27x39x17,https://cdn.example.com/products/vend003/b-vend003-0020.jpg
PROD0021,Bath Mat Set - Model 966,Bathroom,,"Bath Mat Set. Features: Memory Foam, Non-Slip, 2 Piece. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0021,HomeEssentials,31.35,39.99,414,piece,1.98,23x18x11,https://cdn.example.com/products/vend003/b-vend003-0021.jpg
PROD0022,Soap Dispenser Set - Model 137,Bathroom,,"Soap Dispenser Set. Features: Ceramic, 4 Piece, Pump Bottle. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0022,HomeEssentials,31.74,,210,piece,1.43,32x39x28,https://cdn.example.com/products/vend003/b-vend003-0022.jpg
PROD0023,Toilet Brush Set - Model 107,Bathroom,,"Toilet Brush Set. Features: Stainless Steel, Holder Included, Durable. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0023,HomeEssentials,18.04,,355,piece,2.66,39x25x13,https://cdn.example.com/products/vend003/b-vend003-0023.jpg
PROD0024,Bathroom Scale - Model 777,Bathroom,,"Bathroom Scale. Features: Digital, Tempered Glass, 400lb Capacity. Brand: HomeEssentials. Perfect for everyday use.",B-VEND003-0024,HomeEssentials,32.09,39.99,261,piece,1.1,29x28x21,https://cdn.example.com/products/vend003/b-vend003-0024.jpg
PROD0025,Throw Pillows 4-Pack - Model 269,Living Room,,"Throw Pillows 4-Pack. Features: 18x18, Decorative, Inserts Included. Brand: HomeEssentials. Perfect for everyday use.",LR-VEND003-0025,HomeEssentials,37.81,,165,piece,2.75,44x24x24,https://cdn.example.com/products/vend003/lr-vend003-0025.jpg
PROD0026,Picture Frame Set - Model 384,Living Room,,"Picture Frame Set. Features: Wood, 7 Frames, Wall Gallery. Brand: HomeEssentials. Perfect for everyday use.",LR-VEND003-0025,HomeEssentials,35.78,49.99,91,piece,3.63,41x13x29,https://cdn.example.com/products/vend003/lr-vend003-0026.jpg
PROD0027,Decorative Vase - Model 976,Living Room,,"Decorative Vase. Features: Ceramic, Modern, Tall. Brand: HomeEssentials. Perfect for everyday use.",LR-VEND003-0027,HomeEssentials,27.08,,138,piece,1.27,44x39x25,https://cdn.example.com/products/vend003/lr-vend003-0027.jpg
PROD0028,Candle Set - Model 188,Living Room,,"Candle Set. Features: Scented, 3 Pack, Soy Wax. Brand: HomeEssentials. Perfect for everyday use.",LR-VEND003-0028,HomeEssentials,29.3,,176,piece,0.98,38x25x13,https://cdn.example.com/products/vend003/lr-vend003-0028.jpg
PROD0029,Wall Clock - Model 156,Living Room,,"Wall Clock. Features: Silent, Modern, 12 Inch. Brand: HomeEssentials. Perfect for everyday use.",LR-VEND003-0029,HomeEssentials,32.77,44.99,199,piece,1.68,33x11x13,https://cdn.example.com/products/vend003/lr-vend003-0029.jpg
PROD0030,ERROR: Garden Tool Set - Model 460,Garden,,"Garden Tool Set. Features: 9 Piece, Ergonomic, Carry Bag. Brand: HomeEssentials. Perfect for everyday use.",G-VEND003-0030,HomeEssentials,-10.0,69.99,187,piece,3.76,21x12x5,https://cdn.example.com/products/vend003/g-vend003-0030.jpg
PROD0031,Watering Can - Model 670,Garden,,"Watering Can. Features: 2 Gallon, Removable Spout, Plastic. Brand: HomeEssentials. Perfect for everyday use.",,HomeEssentials,18.01,29.99,273,piece,2.15,27x13x6,https://cdn.example.com/products/vend003/g-vend003-0031.jpg
PROD0032,Plant Pots Set - Model 101,Garden,,"Plant Pots Set. Features: Ceramic, Drainage Holes, 5 Sizes. Brand: HomeEssentials. Perfect for everyday use.",G-VEND003-0032,HomeEssentials,34.96,,470,piece,2.48,11x35x15,https://cdn.example.com/products/vend003/g-vend003-0032.jpg
PROD0033,Garden Hose 50ft - Model 301,Garden,,"Garden Hose 50ft. Features: Heavy Duty, Spray Nozzle, Kink Resistant. Brand: HomeEssentials. Perfect for everyday use.",G-VEND003-0033,HomeEssentials,37.91,,482,piece,2.37,17x18x25,https://cdn.example.com/products/vend003/g-vend003-0033.jpg
PROD0034,Outdoor Thermometer - Model 280,Garden,,"Outdoor Thermometer. Features: Wireless, Indoor/Outdoor, LCD Display. Brand: HomeEssentials. Perfect for everyday use.",G-VEND003-0034,HomeEssentials,23.82,,430,piece,1.26,16x30x19,https://cdn.example.com/products/vend003/g-vend003-0034.jpg
