vendor_product_id,product_name,category,subcategory,description,sku,brand,price,compare_at_price,stock_quantity,unit,weight_kg,dimensions_cm,image_url
PROD0011,Bluetooth Headphones - Model 725,Audio Equipment,,"Bluetooth Headphones. Features: Noise Cancelling, Wireless, 30hr Battery. Brand: TechGear. Perfect for everyday use.",AE-VEND001-0011,TechGear,149.42,199.99,376,piece,1.19,27x23x8,https://cdn.example.com/products/vend001/ae-vend001-0011.jpg
PROD0012,USB Microphone - Model 173,Audio Equipment,,"USB Microphone. Features: Condenser, USB, Pop Filter. Brand: TechGear. Perfect for everyday use.",AE-VEND001-0012,TechGear,98.85,,444,piece,4.44,35x16x5,https://cdn.example.com/products/vend001/ae-vend001-0012.jpg
PROD0013,Desktop Speakers - Model 827,Audio Equipment,,"Desktop Speakers. Features: 2.1 Channel, Bluetooth, Subwoofer. Brand: TechGear. Perfect for everyday use.",AE-VEND001-0013,TechGear,63.06,99.99,414,piece,3.38,29x11x10,https://cdn.example.com/products/vend001/ae-vend001-0013.jpg
PROD0014,Gaming Headset - Model 796,Audio Equipment,,"Gaming Headset. Features: 7.1 Surround, RGB, Detachable Mic. Brand: TechGear. Perfect for everyday use.",AE-VEND001-0014,TechGear,78.47,109.99,203,piece,0.16,49x14x15,https://cdn.example.com/products/vend001/ae-vend001-0014.jpg
PROD0015,Wireless Earbuds - Model 340,Audio Equipment,,"Wireless Earbuds. Features: True Wireless, Charging Case, IPX7. Brand: TechGear. Perfect for everyday use.",AE-VEND001-0015,TechGear,62.27,89.99,144,piece,3.48,12x24x6,https://cdn.example.com/products/vend001/ae-vend001-0015.jpg
PROD0016,Soundbar - Model 495,Audio Equipment,,"Soundbar. Features: Bluetooth, HDMI ARC, Wall Mountable. Brand: TechGear. Perfect for everyday use.",AE-VEND001-0016,TechGear,172.66,249.99,443,piece,3.76,24x37x25,https://cdn.example.com/products/vend001/ae-vend001-0016.jpg
PROD0017,Studio Headphones - Model 712,Audio Equipment,,"Studio Headphones. Features: Professional, Closed Back, Detachable Cable. Brand: TechGear. Perfect for everyday use.",AE-VEND001-0017,TechGear,210.24,279.99,328,piece,0.3,47x30x28,https://cdn.example.com/products/vend001/ae-vend001-0017.jpg
PROD0018,Portable Speaker - Model 410,Audio Equipment,,"Portable Speaker. Features: Waterproof, Bluetooth, 12hr Battery. Brand: TechGear. Perfect for everyday use.",AE-VEND001-0018,TechGear,45.92,69.99,228,piece,2.15,26x35x7,https://cdn.example.com/products/vend001/ae-vend001-0018.jpg
PROD0019,Phone Stand - Model 692,Mobile Accessories,,"Phone Stand. Features: Adjustable, Non-Slip, Foldable. Brand: TechGear. Perfect for everyday use.",MA-VEND001-0019,TechGear,15.78,24.99,53,piece,0.56,33x36x24,https://cdn.example.com/products/vend001/ma-vend001-0019.jpg
PROD0020,Wireless Charger - Model 915,Mobile Accessories,,"Wireless Charger. Features: Fast Charging, Qi Compatible, LED Indicator. Brand: TechGear. Perfect for everyday use.",MA-VEND001-0020,TechGear,28.9,,381,piece,4.05,32x34x13,https://cdn.example.com/products/vend001/ma-vend001-0020.jpg
PROD0021,Phone Case Universal - Model 702,Mobile Accessories,,"Phone Case Universal. Features: Shockproof, Clear, Slim. Brand: TechGear. Perfect for everyday use.",MA-VEND001-0021,TechGear,20.07,29.99,19,piece,3.44,38x35x29,https://cdn.example.com/products/vend001/ma-vend001-0021.jpg
PROD0022,Screen Protector Pack - Model 718,Mobile Accessories,,"Screen Protector Pack. Features: Tempered Glass, 3 Pack, Easy Install. Brand: TechGear. Perfect for everyday use.",MA-VEND001-0022,TechGear,9.76,,366,piece,3.2,29x38x29,https://cdn.example.com/products/vend001/ma-vend001-0022.jpg
PROD0023,Car Phone Mount - Model 996,Mobile Accessories,,"Car Phone Mount. Features: Dashboard, Windshield, Adjustable. Brand: TechGear. Perfect for everyday use.",MA-VEND001-0023,TechGear,23.42,34.99,432,piece,0.6,31x25x6,https://cdn.example.com/products/vend001/ma-vend001-0023.jpg
PROD0024,Power Bank 20000mAh - Model 737,Mobile Accessories,,"Power Bank 20000mAh. Features: Fast Charging, Dual USB, LED Display. Brand: TechGear. Perfect for everyday use.",MA-VEND001-0024,TechGear,41.02,54.99,285,piece,0.95,34x33x7,https://cdn.example.com/products/vend001/ma-vend001-0024.jpg
PROD0025,USB-C Cable 3-Pack - Model 143,Mobile Accessories,,"USB-C Cable 3-Pack. Features: Fast Charging, 6ft, Braided. Brand: TechGear. Perfect for everyday use.",MA-VEND001-0025,TechGear,14.69,24.99,123,piece,2.49,39x16x26,https://cdn.example.com/products/vend001/ma-vend001-0025.jpg
PROD0026,Phone Grip Ring - Model 288,Mobile Accessories,,"Phone Grip Ring. Features: 360 Rotation, Magnetic, Kickstand. Brand: TechGear. Perfect for everyday use.",MA-VEND001-0026,TechGear,8.44,,338,piece,4.7,25x19x23,https://cdn.example.com/products/vend001/ma-vend001-0026.jpg
PROD0027,External SSD 1TB - Model 529,Computer Storage,,"External SSD 1TB. Features: USB-C, 540MB/s, Portable. Brand: TechGear. Perfect for everyday use.",CS-VEND001-0027,TechGear,135.01,179.99,342,piece,1.25,41x28x9,https://cdn.example.com/products/vend001/cs-vend001-0027.jpg
PROD0028,USB Flash Drive 128GB - Model 200,Computer Storage,,"USB Flash Drive 128GB. Features: USB 3.0, Keychain, Compact. Brand: TechGear. Perfect for everyday use.",CS-VEND001-0028,TechGear,19.15,29.99,350,piece,3.82,14x37x29,https://cdn.example.com/products/vend001/cs-vend001-0028.jpg
PROD0029,SD Card 256GB - Model 821,Computer Storage,,"SD Card 256GB. Features: Class 10, UHS-I, High Speed. Brand: TechGear. Perfect for everyday use.",CS-VEND001-0029,TechGear,34.73,49.99,293,piece,2.64,11x40x13,https://cdn.example.com/products/vend001/cs-vend001-0029.jpg
PROD0030,Card Reader USB-C - Model 754,Computer Storage,,"Card Reader USB-C. Features: Multi-Card, USB 3.0, Compact. Brand: TechGear. Perfect for everyday use.",CS-VEND001-0030,TechGear,17.19,,379,piece,1.28,27x25x19,https://cdn.example.com/products/vend001/cs-vend001-0030.jpg
PROD0031,External HDD 2TB - Model 185,Computer Storage,,"External HDD 2TB. Features: USB 3.0, Portable, Backup Software. Brand: TechGear. Perfect for everyday use.",CS-VEND001-0031,TechGear,83.13,109.99,29,piece,0.94,28x11x11,https://cdn.example.com/products/vend001/cs-vend001-0031.jpg
